################################################################################################################################
Constituency code, 		34
Constituency, 			Afzalpur
----------------------------------------------------
Candiate                                        Party                                                   Votes     
MALIKAYYA VENKAYYA GUTTEDAR                     Indian National Congress                                38093     
M.Y.PATIL                                       Karnataka Jantha Paksha                                 32855     
VITTHAL HEROOR                                  Janata Dal  (Secular)                                   22847     
GOVIND VISHWANATH BHAT                          Samajwadi Party                                         14648     
DILIP R. PATIL                                  Bharatiya Janata Party                                  10347     
MALLAPPA M. SOLAPUR                             Independent                                             1829      
SHRISHAIL SIDRAMAPPA KALKERI                    Independent                                             1364      
SOMSHEKHAR J. DESHMUKH                          Independent                                             1171      
HUCHAPPA VATHAR GOUR                            Bahujan Samaj Party                                     1039      
VIKRAM BHAT                                     Independent                                             917       
SIDRAMAPPA                                      Independent                                             825       
SHARANABASAPPA S. KALSHETTY                     Independent                                             780       
M.S.PATIL                                       Independent                                             682       
CHANDRASHEKAR N. KARAJAGI                       Independent                                             631       
BASHA PATEL HASARGUNDAGI                        Badavara Shramikara Raitara Congress Party              583       
################################################################################################################################
Constituency code, 		46
Constituency, 			Aland
----------------------------------------------------
Candiate                                        Party                                                   Votes     
BHOJARAJ   RAMCHANDRA                           Karnataka Jantha Paksha                                 67085     
SUBHASH RUKMAIAH                                Janata Dal  (Secular)                                   49971     
SIDDANNA                                        Indian National Congress                                3912      
SHANKAR RAO                                     Independent                                             2239      
PAVADSHETY BASAVARAJ                            Bharatiya Janata Party                                  2144      
BABURAO                                         Independent                                             1865      
DATTAPPA                                        Rashtriya Samaj Paksha                                  1336      
UDAYAKUMAR                                      Badavara Shramikara Raitara Congress Party              835       
KHANDE RAO                                      Samajwadi Party                                         812       
SIDDRAMAPPA                                     Independent                                             734       
ZAHEER                                          Independent                                             516       
RAMCHANDRA                                      Bahujan Samaj Party                                     505       
SHIVANAND                                       Nationalist Congress Party                              431       
################################################################################################################################
Constituency code, 		177
Constituency, 			Anekal
----------------------------------------------------
Candiate                                        Party                                                   Votes     
SHIVANNA B.                                     Indian National Congress                                105464    
A. NARAYANASWAMY                                Bharatiya Janata Party                                  65282     
ANEKAL KESHAVA                                  Janata Dal  (Secular)                                   7307      
R. KRISHNAMURTHY                                Karnataka Jantha Paksha                                 2369      
D. MAHADESH                                     Communist Party of India  (Marxist)                     1923      
SRINIVASA P.                                    Bahujan Samaj Party                                     1365      
A. NARAYANASWAMY                                Independent                                             1000      
MANJUNATHA                                      Badavara Shramikara Raitara Congress Party              885       
SUKUNDHA V.                                     Karnataka Rajya Ryota Sangha                            436       
GOPINATHA G.M.                                  Independent                                             430       
################################################################################################################################
Constituency code, 		8
Constituency, 			Arabhavi
----------------------------------------------------
Candiate                                        Party                                                   Votes     
BALACHANDRA LAXMANRAO JARKIHOLI                 Bharatiya Janata Party                                  99283     
UTAGI RAMAPPA KAREPPA                           Indian National Congress                                24062     
LATUR SURESH MAHALINGAPPA                       Karnataka Jantha Paksha                                 11445     
GURAPPA KALLAPPA HITTANAGI                      Janata Dal  (Secular)                                   3081      
GURUPUTRA KEMPANNA KULLUR                       Independent                                             2012      
GOUDAR SHIVANAGOUDA NINGAPPA                    Sarvodaya Karnataka Paksha                              1527      
MAHANTAPPA SABANNA GOUDAR                       Independent                                             1388      
BASAVANTH IRAPPA VADER                          Bahujan Samaj Party                                     910       
BASAVARAJ BASAVANTAPPA B PATIL                  Badavara Shramikara Raitara Congress Party              697       
HANAJI ASHOK PANDAPPA                           Sarva Janata Party                                      694       
################################################################################################################################
Constituency code, 		198
Constituency, 			Arkalgud
----------------------------------------------------
Candiate                                        Party                                                   Votes     
MANJU A                                         Indian National Congress                                61369     
A.T RAMASWAMY                                   Janata Dal  (Secular)                                   52575     
H. YOGARAMESHA                                  Independent                                             32477     
S. PUTTASWAMY                                   Karnataka Jantha Paksha                                 12259     
K.K YOGESHAPPA                                  Independent                                             2789      
B.C RAJESH                                      Bahujan Samaj Party                                     2774      
M.K NATARAJ                                     Bharatiya Janata Party                                  1775      
H.S YOGESHA                                     Independent                                             1021      
SHIVAKUMAR G A                                  Samajwadi Janata Party(Karnataka)                       842       
MANJUNATHA                                      Bharatiya Dr. B.R.Ambedkar Janta Party                  819       
K.B YOGEGOWDA                                   Independent                                             713       
RAJASHEKHARA                                    Janata Dal  (United)                                    444       
G.S MURALIDHARA                                 Badavara Shramikara Raitara Congress Party              405       
################################################################################################################################
Constituency code, 		194
Constituency, 			Arsikere
----------------------------------------------------
Candiate                                        Party                                                   Votes     
K.M.SHIVALINGE GOWDA                            Janata Dal  (Secular)                                   76579     
B.SHIVARAMU                                     Indian National Congress                                46948     
DR: LOKESH D.G                                  Karnataka Jantha Paksha                                 26312     
D.B.GANGADHAR DUMMENAHALLI                      Bharatiya Janata Party                                  2464      
GANGADHARAPPA                                   Independent                                             1557      
KUMARA BHOVI                                    Bharatiya Dr. B.R.Ambedkar Janta Party                  1335      
JAYANNA                                         Badavara Shramikara Raitara Congress Party              1244      
